127.0.0.1 - - [18/Oct/2023:07:47:33 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:47:39 +0530] "GET /Mailer/ HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:47:52 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:48:03 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:48:27 +0530] "GET /Mailer/ HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:48:39 +0530] "GET /Mailer/ HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:19 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:20 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:21 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:21 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:21 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:21 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:21 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:22 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:22 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:22 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:23 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:23 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:23 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:23 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:24 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:24 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:32 +0530] "GET /Mailer/ HTTP/1.1" 200 2318
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:32 +0530] "GET /Mailer/your-background-image.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:38 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:38 +0530] "GET /Mailer/your-background-image.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:47 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:47 +0530] "GET /Mailer/your-background-image.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:48 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:48 +0530] "GET /Mailer/your-background-image.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:49 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:49 +0530] "GET /Mailer/your-background-image.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:49 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:49 +0530] "GET /Mailer/your-background-image.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:49 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:49 +0530] "GET /Mailer/your-background-image.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:50 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:50 +0530] "GET /Mailer/your-background-image.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:50 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:50:50 +0530] "GET /Mailer/your-background-image.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:53:12 +0530] "GET /Mailer/ HTTP/1.1" 200 2777
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:53:52 +0530] "GET /Mailer/ HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:56 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:56 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:57 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:57 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:57 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:57 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:57 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:58 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:58 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:58 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:58 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:59 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:59 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:55:59 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:56:00 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:56:00 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:56:00 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:56:00 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:56:01 +0530] "GET /Mailer/ HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:56:01 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:07:56:12 +0530] "GET /Mailer/ HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:10:20 +0530] "GET /Mailer/ HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:10:35 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:10:36 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:10:37 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:10:38 +0530] "GET /Mailer/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:11:13 +0530] "GET /Mailer/ HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:11:32 +0530] "GET /Mailer/ HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [18/Oct/2023:08:11:55 +0530] "GET /Mailer/ HTTP/1.1" 200 2684
